X,Y,record_id,record_status_date,parcel_id,lon,lat,ObjectId,address_id,street_num,street_dir,street_name
-82.992812,42.411424,ANN2004-06357,2022/05/18 00:00:00+00,21028785.,-82.992812,42.411424,171,234578,11866,,GRATIOT
-83.20025,42.343992,ANN2004-06358,2022/11/04 00:00:00+00,22000889-93,-83.20025,42.343992,172,215824,15800,W,WARREN
-82.993446,42.411696,ANN2004-06362,2022/03/15 00:00:00+00,21028905-6,-82.993446,42.411696,173,234574,11901,,GRATIOT
-82.992902,42.412651,ANN2004-06364,2020/04/29 00:00:00+00,21028908-10,-82.992902,42.412651,174,234575,11999,,GRATIOT
,,ANN2004-06369,2022/06/08 00:00:00+00,,,,175,,15827,W,WARREN
-83.283717,42.428412,ANN2004-06380,2020/03/31 00:00:00+00,22016747-52,-83.283717,42.428412,176,130131,24501,W,SEVEN MILE
-83.283202,42.42901,ANN2004-06389,2022/06/30 00:00:00+00,22016776.,-83.283202,42.42901,177,120516,24502,,7 MILE
-83.23269,42.406817,ANN2004-06404,2021/12/07 00:00:00+00,22008015-8,-83.23269,42.406817,178,121161,19400,W,GRAND RIVER
-83.202335,42.343854,ANN2004-06415,2022/07/11 00:00:00+00,22000873.,-83.202335,42.343854,179,351970,16050,W,WARREN
-83.203059,42.343841,ANN2004-06425,2022/08/08 00:00:00+00,22000868-71,-83.203059,42.343841,180,351988,16116,W,WARREN
-83.173026,42.365662,ANN2004-06449,2019/11/20 00:00:00+00,22003489-91,-83.173026,42.365662,181,216288,13101,W,CHICAGO
-83.223106,42.406331,ANN2004-06454,2019/11/26 00:00:00+00,22011857-60,-83.223106,42.406331,182,122432,18445,,SCARSDALE
-83.148317,42.352127,ANN2004-06457,2022/08/16 00:00:00+00,18004965-9,-83.148317,42.352127,183,480538,8060,,TIREMAN
,,ANN2004-06467,2022/10/24 00:00:00+00,,,,184,,2884,,GRAND BLVD E
-83.183661,42.365836,ANN2004-06483,2021/02/03 00:00:00+00,22004638.,-83.183661,42.365836,185,537653,14210,,CHICAGO
-83.075838,42.418454,ANN2004-06490,2019/05/17 00:00:00+00,09006629.,-83.075838,42.418454,186,536044,2550,E,MCNICHOLS
-83.211236,42.343638,ANN2004-06494,2021/05/21 00:00:00+00,22000786-91,-83.211236,42.343638,187,215809,16920,W,WARREN
-83.073002,42.331151,ANN2004-06520,2019/05/16 00:00:00+00,08000523-8,-83.073002,42.331151,188,238968,1949,,MICHIGAN
,,ANN2004-06523,2021/08/03 00:00:00+00,,,,189,,2956,E,GRAND BLVD AKA 2960
-83.151827,42.352025,ANN2004-06530,2021/12/08 00:00:00+00,18004932.,-83.151827,42.352025,190,540403,8400,,TIREMAN
,,ANN2004-06535,2022/08/04 00:00:00+00,,,,191,,15122,,CHICAGO
-83.194013,42.376969,ANN2004-06548,2022/04/26 00:00:00+00,22045636-7,-83.194013,42.376969,192,216473,12151,,COYLE
-83.193956,42.377942,ANN2004-06577,2022/06/23 00:00:00+00,22045633.,-83.193956,42.377942,193,213853,12211,,COYLE
-83.062508,42.326198,ANN2004-06578,2022/10/30 00:00:00+00,06000100-1,-83.062508,42.326198,194,285597,1050,,TRUMBULL
-83.179741,42.406356,ANN2004-06588,2021/12/28 00:00:00+00,22030754-61,-83.179741,42.406356,195,351900,15735,,SCHAEFER
-83.064732,42.328941,ANN2004-06593,2019/03/04 00:00:00+00,06005846.,-83.064732,42.328941,196,251836,1500,,TRUMBULL
-83.066216,42.330976,ANN2004-06596,2021/07/23 00:00:00+00,06000374-82,-83.066216,42.330976,197,238970,1950,,TRUMBULL
-83.179802,42.352779,ANN2004-06603,2021/11/01 00:00:00+00,,-83.179802,42.352779,198,350076,8097,,DECATUR
-83.217596,42.343626,ANN2004-06606,2021/10/19 00:00:00+00,22000736.,-83.217596,42.343626,199,215443,18220,W,WARREN
-83.220015,42.34307,ANN2004-06626,2020/03/06 00:00:00+00,22000252-8,-83.220015,42.34307,200,215404,18401,W,WARREN
